All,Tümü
"An error has occurred. See error log for details.","Bir hata oluştu. Ayrıntılar için hata günlüğüne bakın."
"You cannot configure a product.","Bir ürün yapılandıramazsınız."
"You removed the items.","Öğeler kaldırıldı."
"You removed the item.","Madde kaldırıldı."
"You added %1 to your shopping cart.","%1 alışveriş sepetinize eklendi."
"You cannot add a product.","Bir ürün ekleyemezsiniz."
"Order by SKU","SKU siparişleri"
"The SKU was not found in the catalog.","SKU katalogda bulunamadı."
"Availability: Out of stock.","Stok Durumu : Stokta yok"
"We don't have as many of these as you want.","İstediğiniz kadar bunların çoğu yok."
"You can't add this many to your cart.","Sepetiniz bu çok ekleyemezsiniz."
"You need to choose options for your item.","Öğeniz için seçenekleri seçmeniz gerekir."
"We can't add the item to your cart.","Sepetinize ürün ekleyemezsiniz."
"Please enter an actual number in the ""Qty"" field.","Lütfen bir ""Miktar"" alanına bir rakam girin."
"This product is assigned to another website.","Bu ürün başka bir Web sitesine atanır."
"You can add only enabled products.","Yalnızca etkin ürün ekleyebilirsiniz."
"You cannot upload this file.","Bu dosyayı karşıya yükleyemiyor."
"The file is empty.","Dosya boştur."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Bir ürün SKU'su girmediniz. Ürün SKU tarafından eklemek için <a href=""%1""> buraya tıklayın</a> lütfen."
"You have not entered a product SKU.","Bir ürün SKU'su girmediniz."
"We can't add a product to cart by id ""%1"".","Bir ürün kimliği tarafından ""%1"" Sepete ekleyemezsiniz."
"Something went wrong while reordering this product.","Bu ürünün yeniden siparişi sırasında bir hata oluştu."
"We can't find this wish list.","Bu istek listesi bulamadı"
"You added %1 product to your shopping cart.","%1 ürün alışveriş sepetinize eklendi."
"You added %1 products to your shopping cart.","%1 ürünleri alışveriş sepetinize eklendi."
"%1 product requires your attention.","%1 ürün dikkatinizi gerektirir."
"%1 products require your attention.","%1 ürünleri dikkatinizi gerektirir."
"Yes, for Specified Customer Groups","Evet, belirtilen müşteri grupları için"
"Yes, for Everyone","Evet, herkes için"
No,Hayır
"The file is corrupt.","Dosya bozuk."
"Please upload the file in .csv format.",".Csv formatında dosya yükleyin lütfen."
"%1 item(s) need your attention.","%1 ürün (ler) dikkat etmeniz gereken."
"Apply Coupon Code","Kupon Kodunu Uygula"
"Remove Coupon Code","Kupon Kodunu Sil"
"The coupon code ""%1"" is not valid.","Kupon kodu ""%1"" geçerli değil."
"Shopping Cart Items","Alışveriş Sepeti Ürünleri"
Qty,Miktar
Subtotal,"Ara Toplam"
Discount,İndirim
"Row Subtotal","Satır Ara Toplamı"
Action,Eylem
"No ordered items","Hiç ürün sipariş edilmedi"
"Total %1 product(s)","Toplam %1 ürün (ler)"
Subtotal:,"Ara Toplam:"
"Please select","Lütfen seçiniz"
"Move to Wish List","İstek listeme taşı"
"No item specified.","Ürün seçilmedi."
"Are you sure you want to remove this item?","Bu öğeleri silmek istediğinizden emin misiniz?"
"SKU number","SKU numarası"
"Upload File","Dosya Yükle"
"Your csv file must include ""sku"" and ""qty"" columns.","Csv dosyanızı ""sku"" ve ""qty"" sütunları eklemeniz gerekir."
Reset,Sıfırla
"SKU: ","Ürün Türü: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Sadece <span id=""%1_max_allowed"">%2</span> stok"
Item,Ürün
"See price before order confirmation.","Siparişi onaylamadan önce fiyata bakın."
"What's this?","Bu nedir?"
"Incl. Tax","Vergi Dahil"
"Excl. Tax","Vergi Hariç"
"Edit item parameters","Ürün parametrelerini düzenle"
Edit,Düzenle
"Remove item","Ürünü Sil"
"Products Requiring Attention","Dikkat gerektiren ürünler"
"Add to Cart","Sepete Ekle"
Sku,"Ürün Kodu"
File,Dosya
"File extensions allowed: .csv","İzin verilen dosya uzantıları: .csv"
"Add Row","Satır Ekle"
"Remove Row","Satır Sil"
"Add Products By SKU","Ürünü SKU ile ekle"
"Shopping Cart Management","Alışveriş sepeti yönetimi"
"View Shopping Cart","Alışveriş sepetini görüntüle"
"View and modify Shopping Cart","Sepeti görüntüleyin ve değişiklik yapın"
"Order by SKU Settings","SKU ayarları tarafından sipariş"
"Enable Order by SKU on My Account in Storefront","SKU üzerinde mağazası hesabımda sipariş etkinleştirmek"
"Customer Groups","Müşteri Grupları"
"Apply Coupon","Kuponu Uygula"
"Order by SKU Description","Order by SKU açıklaması"
"Display a Link to Loading a Spreadsheet","Bir elektronik tablo yükleme için bir bağlantı görüntülemek"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Tartışma panosu hesabım tanımlar &gt; SKU sayfa emriyle alette görüntülenir"
"Link Text","Bağlantı metni"
"The text of the link to the My Account &gt; Order by SKU page","SKU sayfa sıralama &gt; Hesabım bağlantı metni"
"Load a list of SKUs","SKU'ları listesini yüklemek"
"Order by SKU Template","SKU şablonu tarafından sipariş"
"SKU not found in catalog.","SKU katalogda bulunamadı."
"This file needs to be in .csv format.","Bu dosyanın .csv uzantısında olması gerekiyor."
"This customer couldn't be found. Verify the customer and try again.","Bu müşteri bulunamıyor. Müşteriyi doğrulayıp tekrar deneyiniz."
"This store couldn't be found. Verify the store and try again.","Bu müşteri bulunamıyor. Müşteriyi doğrulayıp tekrar deneyiniz."
"An error occurred. For details, see the error log.","Bir hata meydana geldi. Detaylar için hata kayıtlarını kontrol ediniz."
"The ordered item needs to be loaded. Load the item and try again.","Sipariş edilen ürünün yüklenmesi gerekiyor. Ürünü yükleyin ve tekrar deneyin."
"The quote item ID needs to be received. Set the ID and try again.","Alıntı öğesi kimliği alınması gerekiyor. Kimliğini ayarlayın ve yeniden deneyin."
"The quote item needs to be loaded. Load the item and try again.","Alıntı öğesi kimliği alınması gerekiyor. Kimliğini ayarlayın ve yeniden deneyin."
"The wish list item ID needs to be received. Set the ID and try again.","İstek listesi öğesi kimliği alınması gerekiyor. Kimliğini ayarlayın ve yeniden deneyin."
"The wish list item needs to be loaded. Load the item and try again.","İstek listesindeki ürünün yüklenmesi gerekiyor. Ürünü yükleyin ve tekrar deneyin."
"The file is corrupt and can't be used.","Dosya bozuk ve kullanılamaz durumda."
"Please correct the data sent.","Hatalı girişleri düzeltiniz."
"Entity type model '%1' is not found","'%1' isimli model bulunamadı"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Birim türü modelinin \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType örneği olması gerekir"
"There are no product types available for export","Dışarı aktarmak için uygun ürün tipi yok"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 sınıfı \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface dahil olmuyor"
"Sales Rule","Satış Kuralı"
"Index sales rule","Dizin satış kuralı"
"Related Search Terms","İlgili arama terimleri"
"Add New Search Term","Yeni Arama Kelimesi Ekle"
button_label,etiket_butonu
"Missing search engine parameter.","Arama motoru parametresi eksik."
"Successful! Test again?","Başarılı! Tekrar test et?"
"Connection failed! Test again?","Bağlantı başarısız oldu! Tekrar denemek ister misiniz?"
"Enable Search Recommendations","Arama Önerilerini Etkinleştir"
"When you enable this option your site may slow down.","Bu seçeneği etkinleştirdiğiniz zaman siteniz yavaşlayabilir."
"Search Recommendations Count","Arama Önerileri Sayısı"
"Show Results Count for Each Recommendation","Her Tavsiye İçin Sonuçları Göster"
"Enable Search Suggestions","Arama önerilerini etkinleştirme"
"Search Suggestions Count","Arama öneri sayısı"
"Show Results Count for Each Suggestion","Her öneri için sonuçları sayısını göster"
"Related search terms","İlgili arama terimleri"
"Did you mean","Ne demek istediniz"
"Search Query","Aranan Sorgu"
Store,Mağaza
Results,Sonuçlar
Uses,Kullanım
"Redirect URL","Yönlendirilen URL"
"Suggested Term","Önerilen kurallar"
Yes,Evet
Synonym,Sinonim
"RPC call failed, connection timed out after %time_out.","RPC çağrısı başarısız oldu, bağlantı %time_out sonra zaman aşımına uğradı."
"Message has been rejected: %1","İleti reddedildi: %1"
"Error while checking if topic is synchronous","Konu zaman uyumlu ise kontrol hatası"
"Subscription status","Abonelik durumu"
"Sorry, there has been an error processing your request. Please try again later.","Üzgünüm, İsteğiniz işlenirken bir hata oluştu. Lütfen daha sonra yeniden deneyin."
"Time value has an unsupported format","Saat değeri desteklenmeyen bir biçime sahiptir"
"Cron settings can't be saved","Cron ayarları kaydedilemiyor"
"There was an error save new configuration value.","Yeni ayarları kaydederken hata oluştu."
"Please select a vertical.","Lütfen bir dikey boyut seçin."
"--Please Select--","--Lütfen Seçiniz--"
"Command was not found.","Komut bulunamadı."
"Input data must be string or convertible into string.","Giriş verileri dizi veya diziye dönüştürülebilir olmalıdır."
"Input data must be non-empty string.","Giriş verisii boş olmayan bir dizi olmalıdır."
"Not valid cipher method.","Geçerli olmayan şifreleme yöntemi."
"Encryption key can't be empty.","Şifreleme anahtarı boş olamaz."
"Source ""%1"" is not exist","Kaynak ''%1'' mevcut değil"
"These arguments can't be empty ""%1""","Bu parametreler boş olamaz ''%1''"
"Cannot find predefined integration user!","Önceden tanımlanmış Tümleştirme kullanıcısı bulamıyorum!"
"File is not ready yet.","Dosya henüz hazır değil."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Temel URL'niz değiştirildi ve raporlarınız güncelleniyor. Bu değişiklik işleme konulduktan sonra Gelişmiş Raporlama kullanılabilir olacaktır. Lütfen daha sonra tekrar deneyiniz."
"Failed to synchronize data to the Magento Business Intelligence service. ","Magento Business Intelligence servisine veri senkronizasyonu başarısız oldu. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Senkronizasyonu Yeniden Dene</a>"
TestMessage,"Deneme Mesajı"
"Apps and Games","Uygulamalar ve Oyunlar"
"Athletic/Sporting Goods","Spor/spor malzemeleri"
"Art and Design","Sanat ve tasarım"
"Advanced Reporting","Gelişmiş Raporlama"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Müşteri verilerinize uyarlanmış dinamik ürünümüzü, siparişimizi ve müşteri raporlarımızı kullanarak yeni bilgiler edinin ve iş performansınızın idaresini ele alın."
"Go to Advanced Reporting","Gelişmiş Raporlamaya Git"
Analytics,İstatistikler
Configuration,Yapılandırma
"Business Intelligence","İş Zekası"
"BI Essentials","BI Ana Hatları"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","Bu hizmet işletmenizle ilgili verimli bilgiler içeren dinamik bir rapor seti sunar.                 Raporlarınıza, yönetici panosunun dışında kişiselleştirilmiş bir gösterge panelinden 
                 ""Gelişmiş Raporlamaya Git"" bağlantısına tıklayarak güvenli bir şekilde erişebilirsiniz..</br>Daha fazla bilgi için, bakınız
                 <a href=""https://magento.com/legal/terms/cloud-terms"">şartlar ve koşullar</a>."
"Advanced Reporting Service","Gelişmiş Raporlama Hizmeti"
"Time of day to send data","Veri göndermek için günün saati"
Industry,Endüstri
"In order to personalize your Advanced Reporting experience, please select your industry.","Gelişmiş Raporlama deneyiminizi kişiselleştirmek için lütfen sektörünüzü seçin."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Magento İş Zekası'ndan daha fazla bilgi edinin </strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento İş Zekası size basit ve açık bir yol ile
                     daha fazla veri odaklı hale gelir.</br><a target =""_blank"" Hakkında daha fazla bilgi edinin
                     href = ""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Temelleri</a>katmanı."
"Auto Parts","Otomatik Parçalar"
"Baby/Children’s Apparel, Gear and Toys","Bebek/Çocuk Giyim, Çark ve Oyuncaklar"
"Beauty and Cosmetics","Güzellik ve Kozmetik"
"Books, Music and Magazines","Kitaplar, Müzik ve Dergiler"
"Crafts and Stationery","El Sanatları ve Kırtasiye"
"Consumer Electronics","Ticari Elektronik"
"Deal Site","Anlaşma Sitesi"
"Fashion Apparel and Accessories","Moda Giyimi ve Aksesuarları"
"Food, Beverage and Grocery","Yiyecek, İçecek ve Bakkal"
"Home Goods and Furniture","Ev Eşyaları ve Mobilya"
"Home Improvement","Ev İyileştirmesi"
"Jewelry and Watches","Mücevher ve Saatler"
"Mass Merchant","Kitle Satıcısı"
"Office Supplies","Ofis Malzemeleri"
"Outdoor and Camping Gear","Açık alan ve Kamp Çarkı"
"Pet Goods","Evcil Hayvan Eşyaları"
"Pharma and Medical Devices","İlaç ve Tıbbi Cihazlar"
"Technology B2B","Teknoloji B2B"
Other,Diğer
"The time value is using an unsupported format. Enter a supported format and try again.","Zaman değeri desteklenmeyen bir format kullanıyor. Desteklenen format girin ve tekrar deneyin."
"Please select an industry.","Lütfen bir endüstri seçin."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Veri geçersiz. Verileri bir dizge olarak veya dizgeye dönüştürülebilen veriler olarak girin ve tekrar deneyin."
"The data is invalid. Enter the data as a string and try again.","Veri geçersiz. Veriyi bir dizi olarak girin ve tekrar deneyin."
"The data is invalid. Use a valid cipher method and try again.","Veri geçersiz. Geçerli bir şifreleme metodu kullanın ve tekrar deneyin."
"Enter the encryption key and try again.","Şifreleme anahtarını girin ve tekrar deneyin."
"The ""%1"" source doesn't exist.","""%1"" kaynağı mevcut değil."
"Retry Synchronization","Senkronizasyon Tekrar Denemesi"
Done,Yapıldı
Retry,"Yeniden Dene"
"'Action Details - #' .","'İşlem Detayları - #' ."
"%1 item(s) have been scheduled for update.""","%1 ürün (ler) Güncelleştirmesi zamanlanmamış."""
"Bulk Actions Log","Toplu eylem günlüğü"
"Bulk uuid %bulkUuid not exist","Toplu uuid % kütle Uuid mevcut değil"
"Topic %1","%1 Konu"
"Something went wrong while processing the request.","Talep işlenirken bir hata oluştu."
"Error processing %key element of input data","Giriş verilerinin % anahtar öğesi işlenirken hata oluştu"
"Sorry, something went wrong during product prices update. Please see log for details.","Üzgünüz, ürün fiyatları güncellemesi sırasında bir şeyler ters gitti. Lütfen ayrıntılar için günlüğe bakınız."
"%1 item(s) are currently being updated.","%1 öğe(ler) şu anda güncelleniyor."
"Task ""%1"": ","Görev ""%1"": "
"%1 item(s) have been scheduled for update.","%1 öğe(ler) güncelleme için programlandı."
"%1 item(s) have been successfully updated.","%1 öğe(ler) başarıyla güncellendi."
"%1 item(s) failed to update","%1 öğe(ler) güncellemede başarısız oldu"
Details,Detaylar
"View Details","Detayları Göster"
Dismiss,Reddet
"Pending, in queue...","Bekleniyor, sırada..."
"%1 items selected for mass update","Toplu güncelleme için %1 öğe seçildi"
", %1 successfully updated",",%1 başarıyla güncellendi"
", %1 failed to update",", %1 güncellenirken başarısız oldu"
"Something went wrong.","Birşeyler ters gitti."
"Action Log","Eylem günlükleri"
Report,Rapor
"Bulk Actions","Toplu Eylemler"
"Action Logs","Eylem günlükleri"
"Days Saved in Log","Günlüğe Kaydedilen Gün Sayısı"
"Description of Operation","İşlemin Açıklaması"
Summary,Özet
"Start Time","Başlangıç Zamanı"
"Items to Retry","Tekrarlanacak Öğeler"
"To retry, select the items and click “Retry”.","Tekrar denemek için, öğeleri seçin ve ""Yeniden Dene""yi tıklayın."
"Items That Can’t Be Updated.","Güncellenmeyen Öğeler."
Status,Durum
"Meta Information","Daha Fazla Bilgi"
Error,Hata
"Dismiss All Completed Tasks","Tamamlanan Tüm Görevleri Sonlandır"
"Action Details - #","İşlem Detayları - #"
"Number of Records Affected","Etkilenen kayıtların sayısı"
"We can't find the role for the user you wanted.","İstediğin kullanıcı için rol bulamıyoruz."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","İzin verilen kaynaklar listesi derleme sırasında bir şeyler ters gitti. Özel durumlar günlüğünde daha fazla bilgi bulabilirsiniz."
"The role wasn't found for the user. Verify the role and try again.","Bu kullanıcı için kullanıcı rolü bulunamadı. Doğruladıktan sonra tekrar deneyiniz."
"You created the order.","Sipariş oluşturuldu."
"Order saving error: %1","Sipariş kaydedilemedi, hata: %1"
"Please choose a payment method.","Lütfen bir ödeme yöntemi seçin."
"We can't process your order right now. Please try again later.","Şu anda siparişi işleme koyamıyoruz. Lütfen daha sonra yeniden deneyin."
"An error occurred on the server. Please try to place the order again.","Sunucuda bir hata oluştu. Lütfen tekrar sipariş vermeyi deneyin."
"Credit Card: xxxx-%1","Kredi kartı: xxxx-%1"
"amount %1","tutar %1"
failed.,tamamlanamadı.
successful.,Başarılı.
"Authorize.Net Transaction ID %1.","Yetkilendirme. Ağ Hareketi ID %1."
authorize,Yetkilendir
"authorize and capture","Provizyon al ve Ödemeyi Al"
capture,"tahsil et"
refund,İade
void,"İptal edildi"
"Gateway error: %1","Ağ geçidi hatası: %1"
"Something went wrong in the payment gateway.","Ödeme ağ geçidinde bir şeyler ters gitti."
"Invalid amount for capture.","Çekilecek toplam değeri hatalı."
"Payment capturing error.","Tahsilat yapılırken bir hata meydana geldi."
"Invalid transaction ID.","Hatalı işlem numarası."
"Payment voiding error.","Ödeme iptal hatası."
"Invalid amount for refund.","İade için hatalı tutar."
"Payment refunding error.","Ödeme iade hatası."
"The transaction was declined because the response hash validation failed.","Yanıt karma doğrulamasının başarısız olması nedeniyle işlem reddedildi."
"This payment didn't work out because we can't find this order.","Bu ödeme türünü bulamadığı için ödeme yapılamadı."
"There was a payment authorization error.","Ödeme yetkilendirmede bir hata oluştu."
"Please enter a transaction ID to authorize this payment.","Lütfen bu ödemeyi yetkilendirmek için bir işlem kimliği girin."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Bir şeyler ters gitti: ödenen tutarı sipariş miktarı eşleşmiyor. Lütfen bunu düzeltin ve yeniden deneyin."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","İşlem %1 onaylandı. Miktarı %2. İşlem durumu""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","İşlem %1 geçersiz/reddedildi. İşlem durumu ""%2"". Miktarı %3."
"Authorize Only","Sadece Provizyon"
"Authorize and Capture","Provizyon al ve Ödemeyi Al"
"Unable to get transaction details. Try again later.","İşlem ayrıntıları alınamadı. Daha sonra tekrar deneyin."
"Electronic payments save the trees.","Elektronik ödemeler ağaçları korur."
"Credit Card Type","Kredi Kartı Tipi"
"Please Select","Lütfen seçiniz"
"Credit Card Number","Kredi Kartı Numarası"
"Expiration Date","Son Kullanma Tarihi"
"Card Verification Number","Kart Güvenlik Numarası"
"Fraud Detection ","Sahtekarlık algılama "
"FDS Filter Action","FDS Filtre Eylemi"
"AVS Response","AVS Yanıt"
"Card Code Response","Kart kodu yanıtı"
"CAVV Response","CAVV Yanıt"
"Fraud Filters","Dolandırıcılık filtreleri"
"Place Order","Sipariş Ver"
